	Tracks anom	wv anom
1986:00:00	-2.4	-2.5
1986:00:00	0.3	1.66
1986:00:00	0.6	3.11
1986:00:00	3.6	-0.18
1986:00:00	-3	-4.62
1987:00:00	1.2	0.35
1987:00:00	2.3	-0.85
1987:00:00	-0.6	-9.37
1987:00:00	0.8	1.02
1987:00:00	-1.5	-4.89
1987:00:00	-3.7	-1.04
1987:00:00	2.1	-1.8
1987:00:00	2.6	-2.16
1987:00:00	-1.7	-3.15
1987:00:00	1.6	-5.39
1987:00:00	-0.4	-1.49
1987:00:00	1	0.54
1988:00:00	0.2	2.1
1988:00:00	-1.7	4.5
1988:00:00	0.4	-5.6
1988:00:00	-1.2	2.99
1988:00:00	-1.5	6.51
1988:00:00	-0.7	2.3
1988:00:00	-1.9	-2.69
1988:00:00	-0.4	-0.78
1988:00:00	1.3	-1.11
1988:00:00	-0.4	-0.99
1988:00:00	1.6	6.24
1988:00:00	2	4.45
1989:00:00	-0.8	7.29
1989:00:00	-0.7	7.74
1989:00:00	1.4	7.07
1989:00:00	0.8	3.66
1989:00:00	-0.5	6.63
1989:00:00	-0.7	5.21
1989:00:00	1.1	-0.96
1989:00:00	1.6	-2.57
1989:00:00	-1.7	-0.58
1989:00:00	-2.4	2.86
1989:00:00	0.6	-3.79
1989:00:00	-1	-4.06
1990:00:00	0.2	2.4
1990:00:00	-1.7	0.02
1990:00:00	0.4	-3.66
1990:00:00	2.8	-2.07
1990:00:00	-1.5	-1.65
1990:00:00	-1.7	0.74
1990:00:00	2.1	-2.44
1990:00:00	-0.4	-2.2
1990:00:00	-0.7	-4.57
1990:00:00	-0.4	-5.62
1990:00:00	0.6	-4.07
1990:00:00	0	-0.55
1991:00:00	0.2	-1.49
1991:00:00	-0.7	-4.01
1991:00:00	-0.6	2.4
1991:00:00	1.8	-1.87
1991:00:00	0.5	3.64
1991:00:00	-0.7	-0.68
1991:00:00	0.1	-2.11
1991:00:00	2.6	1.88
1991:00:00	1.3	-2.07
1991:00:00	0.6	0.07
1991:00:00	-0.4	-2.14
1991:00:00	-1	-3.15
1992:00:00	-1.8	-5.09
1992:00:00	-0.7	0.95
1992:00:00	-0.6	1.06
1992:00:00	0.8	-2.56
1992:00:00	0.5	-8.81
1992:00:00	0.3	-3.66
1992:00:00	-1.9	-2.87
1992:00:00	0.6	-0.95
1992:00:00	-0.7	1.35
1992:00:00	1.6	-5.42
1992:00:00	-1.4	-0.63
1992:00:00	-1	3.04
1993:00:00	-0.8	3.11
1993:00:00	-2.7	2.73
1993:00:00	0.4	3.92
1993:00:00	0.8	1.34
1993:00:00	3.5	-5.52
1993:00:00	-0.7	-2.06
1993:00:00	-2.9	-0.68
1993:00:00	-3.4	-3.58
1993:00:00	-1.7	-2.96
1993:00:00	-0.4	-0.12
1993:00:00	2.6	3.78
1993:00:00	-2	2.03
1994:00:00	-1.8	5.16
1994:00:00	1.3	3.94
1994:00:00	1.4	-0.96
1994:00:00	-0.2	4.9
1994:00:00	2.5	0.24
1994:00:00	0.3	2.22
1994:00:00	-0.9	-0.62
1994:00:00	-2.4	0.68
1994:00:00	0.3	-1.98
1994:00:00	-0.4	-2.78
1994:00:00	-1.4	-0.12
1994:00:00	-2	-0.2
1995:00:00	-1.8	-7.78
1995:00:00	-0.7	-3.79
1995:00:00	0.4	-3.41
1995:00:00	2.8	0.68
1995:00:00	-1.5	2.69
1995:00:00	-0.7	-1.84
1995:00:00	5.1	-1.92
1995:00:00	2.6	-1.82
1995:00:00	0.3	-2.42
1995:00:00	-0.4	-1.22
1995:00:00	-1.4	4.13
1995:00:00	0	-1.1
1996:00:00	-0.8	1.24
1996:00:00	2.3	-3.91
1996:00:00	0.4	2.92
1996:00:00	1.8	3.05
1996:00:00	0.5	2.56
1996:00:00	-0.7	0.57
1996:00:00	-2.9	-0.56
1996:00:00	0.6	-1.18
1996:00:00	0.3	-0.66
1996:00:00	-0.4	-1.34
1996:00:00	-1.4	-1.33
1996:00:00	2	-6.99
1997:00:00	-0.8	0.96
1997:00:00	-0.7	2.63
1997:00:00	-1.6	13.13
1997:00:00	-1.2	1.13
1997:00:00	-0.5	-0.07
1997:00:00	0.3	-3.86
1997:00:00	-2.9	-1.64
1997:00:00	-2.4	-4.58
1997:00:00	-1.7	-4.06
1997:00:00	2.6	-2.49
1997:00:00	-0.4	-1.74
1997:00:00	0	-6.34
1998:00:00	2.2	-8.97
1998:00:00	0.3	-8.52
1998:00:00	3.4	-4.91
1998:00:00	-0.2	-5.73
1998:00:00	-1.5	-1.11
1998:00:00	0.3	-0.44
1998:00:00	3.1	2.88
1998:00:00	0.6	0.57
1998:00:00	5.3	3.15
1998:00:00	-1.4	4.09
1998:00:00	-2.4	3.19
1998:00:00	1	-5.55
1999:00:00	0.2	4.41
1999:00:00	1.3	-0.85
1999:00:00	0.4	-3.63
1999:00:00	-0.2	2.06
1999:00:00	-2.5	6.23
1999:00:00	1.3	2.22
1999:00:00	0.1	-1.81
1999:00:00	-2.4	-2.07
1999:00:00	-1.7	2.47
1999:00:00	-1.4	-0.9
1999:00:00	-2.4	-0.43
1999:00:00	0	3.26
2000:00:00	0.2	2.12
2000:00:00	0.3	-1.54
2000:00:00	1.4	1.99
2000:00:00	-0.2	5.37
2000:00:00	1.5	-0.51
2000:00:00	3.3	1.82
2000:00:00	-2.9	1.87
2000:00:00	-3.4	-0.49
2000:00:00	-0.7	4.18
2000:00:00	-0.4	2
2000:00:00	2.6	-1.14
2000:00:00	-1	-6.52
2001:00:00	-0.8	3.72
2001:00:00	-1.7	-1
2001:00:00	2.4	1.06
2001:00:00	-0.2	-3.5
2001:00:00	0.5	0.68
2001:00:00	0.3	5.07
2001:00:00	0.1	1.49
2001:00:00	0.6	-1.7
2001:00:00	-1.7	-0.29
2001:00:00	-0.4	-0.16
2001:00:00	-1.4	-1.7
2001:00:00	-2	3.9
2002:00:00	1.2	-5.71
2002:00:00	-0.7	-2.46
2002:00:00	0.4	-6.44
2002:00:00	1.8	-4.07
2002:00:00	2.5	-3
2002:00:00	-1.7	-2.97
2002:00:00	1.1	1.33
2002:00:00	-1.4	-2.61
2002:00:00	-2.7	-3.47
2002:00:00	0.6	0.59
2002:00:00	0.6	-3.47
2002:00:00	0	2.59
2003:00:00	2.2	-5.22
2003:00:00	0.3	-2.04
2003:00:00	-0.6	1.37
2003:00:00	-0.2	2.19
2003:00:00	0.5	0.95
2003:00:00	0.3	4.06
2003:00:00	0.1	0.28
2003:00:00	0.6	-1.19
2003:00:00	1.3	1.65
2003:00:00	0.6	-0.57
2003:00:00	1.6	-0.24
2003:00:00	3	-3.29
2004:00:00	-1.8	0.23
2004:00:00	-1.7	1.33
2004:00:00	0.4	1.53
2004:00:00	0.8	-3.83
2004:00:00	-1.5	5.11
2004:00:00	-0.7	0.42
2004:00:00	1.1	0.41
2004:00:00	-1.4	-1.42
2004:00:00	-1.7	-4.68
2004:00:00	0.6	-2.29
2004:00:00	-0.4	-0.87
2004:00:00	2	0.58
2005:00:00	-0.8	-6.86
2005:00:00	-0.7	5.84
2005:00:00	-1.6	4.97
2005:00:00	-0.2	-3.35
2005:00:00	5.5	-5
2005:00:00	1.3	-3.35
2005:00:00	-2.9	-0.94
2005:00:00	2.6	4.01
2005:00:00	2.3	7.47
2005:00:00	1.6	4.05
2005:00:00	-0.4	0.19
2005:00:00	-1	4.36
2006:00:00	0.2	1.34
2006:00:00	-0.7	6.9
2006:00:00	-0.6	-0.2
2006:00:00	0.8	4.09
2006:00:00	-2.5	1.24
2006:00:00	-0.7	-0.46
2006:00:00	0.1	6.37
2006:00:00	2.6	5.72
2006:00:00	-0.7	1.87
2006:00:00	-0.4	0.59
2006:00:00	-0.4	-0.33
2006:00:00	2	1.33
2007:00:00	0.2	-2.19
2007:00:00	0.3	-8.72
2007:00:00	-0.6	-0.12
2007:00:00	-0.2	0
2007:00:00	1.5	-2.48
2007:00:00	2.3	-1.31
2007:00:00	0.1	1.06
2007:00:00	1.6	9.58
2007:00:00	-0.7	5.84
2007:00:00	-1.4	3.36
2007:00:00	-2.4	0.67
2007:00:00	0	1.22
2008:00:00	2.2	4.74
2008:00:00	2.3	5.03
2008:00:00	-1.6	4.1
2008:00:00	-2.2	-2.22
2008:00:00	-1.5	4.99
2008:00:00	1.3	1.12
2008:00:00	0.1	4.92
2008:00:00	3.6	8.93
2008:00:00	-0.7	0.62
2008:00:00	0.6	4.09
2008:00:00	-0.4	5.02
2008:00:00	1	4.78
2009:00:00	0.2	2.84
2009:00:00	0.3	1.8
2009:00:00	0.4	2.18
2009:00:00	-2.2	5.42
2009:00:00	0.5	-2.22
2009:00:00	-1.7	2.23
2009:00:00	2.1	-1.43
2009:00:00	-0.4	1.27
2009:00:00	-1.7	2.82
2009:00:00	-1.4	1.06
2009:00:00	0.6	-6.23
2009:00:00	1	7.53
2010:00:00	0.2	1.66
2010:00:00	-0.7	-2.86
2010:00:00	0.4	-7.87
2010:00:00	-2.2	-5.08
2010:00:00	-2.5	-3.46
2010:00:00	1.3	0.5
2010:00:00	0.1	6.16
2010:00:00	-0.4	9.26
2010:00:00	2.3	4.66
2010:00:00	-0.4	5.25
2010:00:00	-1.4	2.5
2010:00:00	-2	-2.76
