	Tracks anom	wv anom
1991:00:00	-0.7	2.7
1991:00:00	0.1	-1.6
1991:00:00	2.6	-3.1
1991:00:00	1.3	1
1991:00:00	0.6	-3.1
1991:00:00	-0.4	-1.3
1991:00:00	-1	-0.5
1992:00:00	-1.8	-0.6
1992:00:00	-0.7	0.2
1992:00:00	-0.6	1.1
1992:00:00	0.8	0.2
1992:00:00	0.5	-1.3
1992:00:00	0.3	-0.9
1992:00:00	-1.9	-0.7
1992:00:00	0.6	1.7
1992:00:00	-0.7	1.2
1992:00:00	1.6	-1.1
1992:00:00	-1.4	-0.9
1992:00:00	-1	0
1993:00:00	-0.8	-0.9
1993:00:00	-2.7	-1.3
1993:00:00	0.4	-1.4
1993:00:00	0.8	0.4
1993:00:00	3.5	-0.6
1993:00:00	-0.7	0.5
1993:00:00	-2.9	1.6
1993:00:00	-3.4	1
1993:00:00	-1.7	0.4
1993:00:00	-0.4	0.8
1993:00:00	2.6	1.1
1993:00:00	-2	1.8
1994:00:00	-1.8	0.7
1994:00:00	1.3	-0.1
1994:00:00	1.4	-1.4
1994:00:00	-0.2	0
1994:00:00	2.5	0.3
1994:00:00	0.3	2.5
1994:00:00	-0.9	-0.4
1994:00:00	-2.4	-0.8
1994:00:00	0.3	2.2
1994:00:00	-0.4	-0.9
1994:00:00	-1.4	-1.1
1994:00:00	-2	1
1995:00:00	-1.8	-1.1
1995:00:00	-0.7	-0.5
1995:00:00	0.4	0.2
1995:00:00	2.8	1.7
1995:00:00	-1.5	1.5
1995:00:00	-0.7	0
1995:00:00	5.1	0.4
1995:00:00	2.6	-2
1995:00:00	0.3	0.2
1995:00:00	-0.4	-0.6
1995:00:00	-1.4	0.9
1995:00:00	0	-0.4
1996:00:00	-0.8	-1.2
1996:00:00	2.3	-1.2
1996:00:00	0.4	0.3
1996:00:00	1.8	0.6
1996:00:00	0.5	1
1996:00:00	-0.7	0.1
1996:00:00	-2.9	-1.9
1996:00:00	0.6	3
1996:00:00	0.3	0.6
1996:00:00	-0.4	0.9
1996:00:00	-1.4	-0.1
1996:00:00	2	-1.8
1997:00:00	-0.8	-0.2
1997:00:00	-0.7	-0.6
1997:00:00	-1.6	1.1
1997:00:00	-1.2	-1
1997:00:00	-0.5	-1.1
1997:00:00	0.3	-0.7
1997:00:00	-2.9	-1.7
1997:00:00	-2.4	3.1
1997:00:00	-1.7	0.8
1997:00:00	2.6	0.8
1997:00:00	-0.4	1.2
1997:00:00	0	1.1
1998:00:00	2.2	3.1
1998:00:00	0.3	5.4
1998:00:00	3.4	4.7
1998:00:00	-0.2	4.3
1998:00:00	-1.5	2.6
1998:00:00	0.3	2.1
1998:00:00	3.1	1
1998:00:00	0.6	3
1998:00:00	5.3	0.2
1998:00:00	-1.4	1.7
1998:00:00	-2.4	1.3
1998:00:00	1	-1.2
1999:00:00	0.2	0.1
1999:00:00	1.3	-1
1999:00:00	0.4	-1.9
1999:00:00	-0.2	-1.6
1999:00:00	-2.5	-0.2
1999:00:00	1.3	2
1999:00:00	0.1	-2
1999:00:00	-2.4	-3.6
1999:00:00	-1.7	0.5
1999:00:00	-1.4	-3.5
1999:00:00	-2.4	-1.6
1999:00:00	0	0.1
2000:00:00	0.2	-1.4
2000:00:00	0.3	-2.3
2000:00:00	1.4	-1.7
2000:00:00	-0.2	-0.5
2000:00:00	1.5	-2.7
2000:00:00	3.3	-0.4
2000:00:00	-2.9	1.8
2000:00:00	-3.4	1.7
2000:00:00	-0.7	0.5
2000:00:00	-0.4	0
2000:00:00	2.6	-0.3
2000:00:00	-1	-2.3
2001:00:00	-0.8	-1.4
2001:00:00	-1.7	-1.5
2001:00:00	2.4	-1.6
2001:00:00	-0.2	-2.2
2001:00:00	0.5	0.2
2001:00:00	0.3	-0.7
2001:00:00	0.1	2.9
2001:00:00	0.6	-3.1
2001:00:00	-1.7	0.8
2001:00:00	-0.4	-0.8
2001:00:00	-1.4	-0.3
2001:00:00	-2	1.9
2002:00:00	1.2	-1
2002:00:00	-0.7	0.8
2002:00:00	0.4	-0.8
2002:00:00	1.8	-1.3
2002:00:00	2.5	0.3
2002:00:00	-1.7	-1.6
2002:00:00	1.1	3.7
2002:00:00	-1.4	2.1
2002:00:00	-2.7	-0.8
2002:00:00	0.6	0.1
2002:00:00	0.6	-0.5
2002:00:00	0	2.1
2003:00:00	2.2	0.9
2003:00:00	0.3	1.1
2003:00:00	-0.6	0.6
2003:00:00	-0.2	0.4
2003:00:00	0.5	0.5
2003:00:00	0.3	1.6
2003:00:00	0.1	-2.8
2003:00:00	0.6	1.5
2003:00:00	1.3	0.7
2003:00:00	0.6	0.8
2003:00:00	1.6	-0.2
2003:00:00	3	-0.1
2004:00:00	-1.8	0.8
2004:00:00	-1.7	0.2
2004:00:00	0.4	1.2
2004:00:00	0.8	0
2004:00:00	-1.5	-0.1
2004:00:00	-0.7	-0.5
2004:00:00	1.1	1.3
2004:00:00	-1.4	-0.7
2004:00:00	-1.7	-0.7
2004:00:00	0.6	0.4
2004:00:00	-0.4	0.7
2004:00:00	2	0
2005:00:00	-0.8	0.2
2005:00:00	-0.7	3.1
2005:00:00	-1.6	1.7
2005:00:00	-0.2	-0.3
2005:00:00	5.5	-0.4
2005:00:00	1.3	-0.5
2005:00:00	-2.9	-3.6
2005:00:00	2.6	-2.9
2005:00:00	2.3	-1.3
2005:00:00	1.6	0.9
2005:00:00	-0.4	0.6
2005:00:00	-1	0.7
2006:00:00	0.2	0.1
2006:00:00	-0.7	1.6
2006:00:00	-0.6	-0.3
2006:00:00	0.8	-0.3
2006:00:00	-2.5	-2.6
2006:00:00	-0.7	-2.7
2006:00:00	0.1	-0.4
2006:00:00	2.6	0.4
2006:00:00	-0.7	-1.4
2006:00:00	-0.4	2
2006:00:00	-0.4	-0.1
2006:00:00	2	1.1
2007:00:00	0.2	2.2
2007:00:00	0.3	-1.1
2007:00:00	-0.6	0.2
2007:00:00	-0.2	-0.3
2007:00:00	1.5	-0.3
2007:00:00	2.3	-4.9
2007:00:00	0.1	1.4
2007:00:00	1.6	-4.4
2007:00:00	-0.7	-1.7
2007:00:00	-1.4	-0.1
2007:00:00	-2.4	0.5
2007:00:00	0	-0.5
2008:00:00	2.2	0.4
2008:00:00	2.3	-0.8
2008:00:00	-1.6	-1.5
2008:00:00	-2.2	-1.4
2008:00:00	-1.5	-1.3
2008:00:00	1.3	-3.3
2008:00:00	0.1	-3.6
2008:00:00	3.6	-2
2008:00:00	-0.7	0.2
2008:00:00	0.6	0.4
2008:00:00	-0.4	1.6
2008:00:00	1	0.9
2009:00:00	0.2	0.2
2009:00:00	0.3	0.5
2009:00:00	0.4	0.2
2009:00:00	-2.2	1.3
2009:00:00	0.5	0.7
2009:00:00	-1.7	2.3
2009:00:00	2.1	1.3
2009:00:00	-0.4	0.2
2009:00:00	-1.7	-1.3
2009:00:00	-1.4	-0.1
2009:00:00	0.6	1.4
2009:00:00	1	2.8
2010:00:00	0.2	2.6
2010:00:00	-0.7	3.8
2010:00:00	0.4	2.5
2010:00:00	-2.2	-0.3
2010:00:00	-2.5	1.3
2010:00:00	1.3	-0.9
2010:00:00	0.1	-0.5
2010:00:00	-0.4	-6.5
2010:00:00	2.3	-1.9
2010:00:00	-0.4	0.8
2010:00:00	-1.4	0.5
2010:00:00	-2	-1.2
